constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5, 10], [9.0, 1.0, 300], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  3  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 3 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  6  7  8  9  
BanditTestBatch: numCases: 4
BanditTestBatch: maxim sum reward: 2149.0
BanditTestBatch: random reward: 1365.5
 Evals       Score          p01       p02       p03       case01    case02    case03    case04 
   151       81.87     3.509369  0.676641  175.835257        56.34     89.05    100.00     82.08 
   152       76.20     2.661662  0.643544  196.681727        56.34     90.87     75.49     82.07 
   153       75.77     3.709741  0.712064  146.222273        56.34     89.13     75.51     82.12 
   154       75.90     3.146798  0.650199  186.332818        56.34     89.64     75.51     82.12 
   155       76.17     3.117270  0.728441  154.265844        56.34     90.73     75.50     82.09 
   156       82.00     3.251662  0.666132  176.621283        56.34     89.56    100.00     82.09 
   157       74.70     4.191564  0.720914  208.007444        56.34     84.84     75.51     82.10 
   158       82.13     3.110291  0.685648  159.384616        56.34     90.22    100.00     81.96 
   159       82.71     2.328782  0.703273  142.951222        56.34     92.40    100.00     82.10 
   160       85.58     1.844404  0.695636  135.487023        67.17     93.05    100.00     82.09 
   161       83.43     1.897397  0.684753  165.152424        58.52     93.13     99.99     82.10 
   162       82.77     2.192550  0.684292  170.413722        56.34     92.62     99.99     82.11 
   163       76.17     2.710919  0.642386  175.449397        56.34     90.73     75.51     82.10 
   164       79.70     1.813678  0.704501  185.993095        68.23     92.98     75.50     82.09 
   165       76.30     2.742584  0.690087  166.055176        56.34     91.24     75.51     82.12 
   166       83.01     1.867905  0.659015  150.114256        56.87     93.20    100.00     81.96 
   167       88.50     1.423142  0.701347  137.268824        79.46     92.47     99.98     82.10 
   168       77.45     1.960819  0.704441  148.010693        59.07     93.13     75.50     82.11 
   169       77.21     2.144269  0.730374  120.839140        58.27     93.13     75.50     81.96 
   170       86.33     1.768075  0.727984  131.735954        70.37     92.84    100.00     82.11 
   171       80.09     1.647661  0.694132  147.183035        70.01     92.76     75.50     82.08 
   172       77.36     2.293999  0.761798  129.874992        58.78     93.05     75.51     82.10 
   173       79.64     1.930870  0.726353  133.316893        68.03     93.05     75.50     81.97 
   174       79.58     1.970640  0.729600  124.435793        67.70     93.05     75.49     82.08 
   175       82.36     1.428632  0.700573  116.627165        79.37     92.47     75.50     82.10 
   176       82.98     2.103129  0.707231  142.875047        56.91     93.05     99.99     81.97 
   177       79.86     1.839357  0.720082  141.395841        68.88     92.98     75.51     82.07 
   178       87.99     1.627634  0.704249  148.761810        77.19     92.69     99.99     82.10 
   179       82.02     1.679147  0.728820  155.735056        77.76     92.69     75.51     82.10 
   180       82.80     2.101029  0.677326  154.502165        56.34     92.76    100.00     82.10 
   181       79.37     2.034366  0.728817  143.701213        66.78     93.13     75.50     82.08 
   182       82.84     2.131222  0.697980  163.243943        56.34     92.91     99.98     82.11 
   183       82.27     1.530683  0.717641  147.110247        78.92     92.55     75.50     82.11 
   184       85.97     1.832016  0.717534  148.734615        68.82     92.98     99.99     82.11 
   185       82.18     1.469609  0.693620  156.657469        78.58     92.55     75.50     82.12 
   186       80.21     1.702425  0.713361  156.263796        70.39     92.84     75.50     82.12 
   187       88.16     1.602804  0.713662  147.409232        77.92     92.62    100.00     82.10 
   188       86.04     1.829622  0.724537  146.195572        69.30     92.91    100.00     81.96 
   189       86.14     1.726393  0.706445  142.297686        69.62     92.84    100.00     82.11 
   190       88.50     1.532817  0.729401  146.969476        79.40     92.47    100.00     82.12 
   191       88.57     1.520660  0.733424  146.868840        79.70     92.47    100.00     82.10 
   192       82.00     1.725672  0.738309  142.287746        77.71     92.69     75.51     82.10 
   193       82.53     1.485701  0.735459  146.295805        80.16     92.40     75.50     82.07 
   194       82.34     1.538936  0.731425  147.468126        79.42     92.47     75.51     81.96 
   195       88.50     1.544423  0.730991  147.611837        79.34     92.55     99.98     82.12 
   196       82.33     1.565850  0.732980  147.125248        79.19     92.55     75.50     82.10 
   197       82.38     1.533104  0.730713  146.601821        79.45     92.47     75.50     82.09 
   198       88.47     1.545508  0.728926  148.929803        79.24     92.55     99.99     82.09 
   199       82.44     1.513344  0.730402  148.188957        79.66     92.47     75.51     82.10 
   200       88.36     1.583922  0.729612  150.354232        78.84     92.55     99.99     82.07 
   201       88.34     1.604148  0.731769  150.712059        78.72     92.55     99.98     82.10 
   202       88.31     1.616095  0.730621  150.681987        78.53     92.62    100.00     82.08 
   203       82.19     1.616095  0.730621  150.681987        78.53     92.62     75.51     82.09 
   204       76.74     3.487550  0.755826  95.649585        56.34     93.13     75.51     81.97 
   205       75.18     4.495242  0.689854  119.339511        56.34     86.80     75.50     82.08 
   206       79.00     5.045319  0.565422  110.103755        56.34     77.56    100.00     82.09 
   207       75.24     4.327565  0.678374  163.682282        56.34     87.02     75.50     82.10 
   208       75.44     3.614936  0.619578  144.748408        56.34     87.82     75.50     82.10 
   209       81.64     4.032038  0.698656  120.031967        56.34     88.11    100.00     82.10 
   210       75.51     4.318824  0.740878  128.758535        56.34     88.11     75.51     82.10 
   211       76.98     2.917235  0.629993  50.488020        56.34     94.00     75.49     82.07 
   212       75.11     4.786475  0.713939  94.063171        56.34     86.51     75.50     82.09 
   213       81.29     4.791970  0.726691  40.472367        56.34     86.73    100.00     82.08 
   214       77.11     3.437867  0.749149  57.452262        56.34     94.51     75.49     82.09 
   215       75.96     3.241352  0.680359  110.178349        56.34     89.85     75.51     82.12 
   216       80.98     4.551720  0.633878  49.746476        56.34     85.49    100.00     82.10 
   217       74.59     5.028711  0.643517  49.829327        56.34     84.40     75.51     82.09 
   218       79.38     4.721902  0.577448  64.474251        56.34     79.24    100.00     81.95 
   219       76.82     3.343711  0.675509  77.365274        56.34     93.35     75.51     82.07 
   220       82.31     3.182015  0.745559  102.335581        56.34     90.80     99.99     82.12 
   221       76.83     4.053192  0.802795  72.304308        56.34     93.35     75.51     82.10 
   222       81.02     5.741037  0.783315  132.613403        56.34     85.64    100.00     82.11 
   223       71.24     7.182094  0.682936  139.542588        56.34     71.02     75.50     82.10 
   224       74.58     6.037682  0.750343  190.999767        56.34     84.40     75.50     82.08 
   225       80.98     5.665625  0.774776  171.128246        56.34     85.64     99.98     81.96 
   226       79.05     7.268802  0.780873  174.932940        56.34     77.78     99.99     82.08 
   227       77.33     8.230260  0.751493  154.903508        56.34     71.02    100.00     81.96 
   228       79.12     6.640960  0.734468  198.965865        56.34     78.07     99.99     82.07 
   229       80.11     5.452661  0.756812  214.526833        56.34     82.00    100.00     82.08 
   230       74.97     3.861244  0.727611  239.931131        56.34     85.93     75.50     82.11 
   231       82.26     2.290378  0.735374  210.056104        56.43     90.65    100.00     81.97 
   232       84.31     1.254979  0.727845  175.655262        87.65     92.11     75.50     81.96 
   233       77.51     2.332653  0.774963  123.294399        59.40     93.05     75.49     82.09 
   234       83.31     2.628295  0.807970  192.033160        58.52     92.62     99.99     82.10 
   235       82.16     3.854347  0.824327  184.478135        56.34     90.22     99.98     82.09 
   236       79.64     2.946479  0.877719  191.360137        68.44     92.55     75.51     82.08 
   237       76.48     3.027596  0.829868  145.378084        56.34     91.96     75.50     82.12 
   238       79.55     3.779479  0.944894  143.138095        68.99     91.60     75.51     82.10 
   239       81.73     4.995923  0.867345  136.377293        56.34     88.47    100.00     82.10 
   240       75.68     4.962257  0.880862  150.783949        56.34     88.76     75.51     82.10 
   241       74.68     6.348742  0.803579  125.066615        56.34     84.76     75.51     82.10 
   242       75.53     5.457933  0.907590  128.920852        56.34     88.18     75.50     82.10 
   243       81.03     6.662402  0.888248  141.975178        56.34     85.71    100.00     82.09 
   244       75.08     6.655948  0.925960  160.903907        56.34     86.36     75.50     82.10 
   245       81.34     6.701949  0.966727  130.298621        56.34     86.95     99.99     82.09 
   246       80.94     7.051377  0.904734  108.990892        56.34     85.35    100.00     82.08 
   247       81.42     6.128777  0.921912  132.797776        56.34     87.24     99.99     82.10 
   248       74.80     6.835356  0.881497  115.897706        56.34     85.27     75.49     82.09 
   249       75.39     5.975931  0.932545  151.222889        56.34     87.60     75.50     82.10 
   250       75.15     6.913825  0.972782  159.850489        56.34     86.65     75.51     82.10 
   251       75.26     6.700996  0.991193  98.881255        56.34     87.24     75.50     81.96 
   252       81.44     6.297880  0.949238  94.206375        56.34     87.31    100.00     82.10 
   253       75.19     6.669971  0.965947  89.645271        56.34     86.95     75.49     81.97 
   254       80.98     6.923281  0.901376  93.784592        56.34     85.49     99.99     82.10 
